Planning Area,Subzone,Age Group,Floor Area,2024
Downtown Core,Nicoll,20 - 24,> 100 - 120,-
Downtown Core,Nicoll,20 - 24,> 120,10
Downtown Core,Nicoll,25 - 29,Total*,20
Downtown Core,Nicoll,25 - 29,≤ 60,-
Downtown Core,Nicoll,25 - 29,> 60 - 80,-
Downtown Core,Nicoll,25 - 29,> 80 - 100,10
Downtown Core,Nicoll,25 - 29,> 100 - 120,-
Downtown Core,Nicoll,25 - 29,> 120,10
Downtown Core,Nicoll,30 - 34,Total*,40
Downtown Core,Nicoll,30 - 34,≤ 60,-
Downtown Core,Nicoll,30 - 34,> 60 - 80,10
Downtown Core,Nicoll,30 - 34,> 80 - 100,-
Downtown Core,Nicoll,30 - 34,> 100 - 120,10
Downtown Core,Nicoll,30 - 34,> 120,10
Downtown Core,Nicoll,35 - 39,Total*,40
Downtown Core,Nicoll,35 - 39,≤ 60,-
Downtown Core,Nicoll,35 - 39,> 60 - 80,10
Downtown Core,Nicoll,35 - 39,> 80 - 100,-
Downtown Core,Nicoll,35 - 39,> 100 - 120,10
Downtown Core,Nicoll,35 - 39,> 120,20
Downtown Core,Nicoll,40 - 44,Total*,40
Downtown Core,Nicoll,40 - 44,≤ 60,-
Downtown Core,Nicoll,40 - 44,> 60 - 80,10
Downtown Core,Nicoll,40 - 44,> 80 - 100,-
Downtown Core,Nicoll,40 - 44,> 100 - 120,10
Downtown Core,Nicoll,40 - 44,> 120,10
Downtown Core,Nicoll,45 - 49,Total*,30
Downtown Core,Nicoll,45 - 49,≤ 60,-
Downtown Core,Nicoll,45 - 49,> 60 - 80,10
Downtown Core,Nicoll,45 - 49,> 80 - 100,-
Downtown Core,Nicoll,45 - 49,> 100 - 120,10
Downtown Core,Nicoll,45 - 49,> 120,10
Downtown Core,Nicoll,50 - 54,Total*,30
Downtown Core,Nicoll,50 - 54,≤ 60,-
Downtown Core,Nicoll,50 - 54,> 60 - 80,10
Downtown Core,Nicoll,50 - 54,> 80 - 100,-
Downtown Core,Nicoll,50 - 54,> 100 - 120,10
Downtown Core,Nicoll,50 - 54,> 120,10
Downtown Core,Nicoll,55 - 59,Total*,30
Downtown Core,Nicoll,55 - 59,≤ 60,-
Downtown Core,Nicoll,55 - 59,> 60 - 80,-
Downtown Core,Nicoll,55 - 59,> 80 - 100,-
Downtown Core,Nicoll,55 - 59,> 100 - 120,10
Downtown Core,Nicoll,55 - 59,> 120,10
Downtown Core,Nicoll,60 - 64,Total*,10
Downtown Core,Nicoll,60 - 64,≤ 60,-
Downtown Core,Nicoll,60 - 64,> 60 - 80,-
Downtown Core,Nicoll,60 - 64,> 80 - 100,-
Downtown Core,Nicoll,60 - 64,> 100 - 120,-
Downtown Core,Nicoll,60 - 64,> 120,10
Downtown Core,Nicoll,65 - 69,Total*,20
Downtown Core,Nicoll,65 - 69,≤ 60,-
Downtown Core,Nicoll,65 - 69,> 60 - 80,-
Downtown Core,Nicoll,65 - 69,> 80 - 100,-
Downtown Core,Nicoll,65 - 69,> 100 - 120,-
Downtown Core,Nicoll,65 - 69,> 120,10
Downtown Core,Nicoll,70 - 74,Total*,10
Downtown Core,Nicoll,70 - 74,≤ 60,-
Downtown Core,Nicoll,70 - 74,> 60 - 80,-
Downtown Core,Nicoll,70 - 74,> 80 - 100,-
Downtown Core,Nicoll,70 - 74,> 100 - 120,-
Downtown Core,Nicoll,70 - 74,> 120,-
Downtown Core,Nicoll,75 - 79,Total*,-
Downtown Core,Nicoll,75 - 79,≤ 60,-
Downtown Core,Nicoll,75 - 79,> 60 - 80,-
Downtown Core,Nicoll,75 - 79,> 80 - 100,-
Downtown Core,Nicoll,75 - 79,> 100 - 120,-
Downtown Core,Nicoll,75 - 79,> 120,-
Downtown Core,Nicoll,80 - 84,Total*,-
Downtown Core,Nicoll,80 - 84,≤ 60,-
Downtown Core,Nicoll,80 - 84,> 60 - 80,-
Downtown Core,Nicoll,80 - 84,> 80 - 100,-
Downtown Core,Nicoll,80 - 84,> 100 - 120,-
Downtown Core,Nicoll,80 - 84,> 120,-
Downtown Core,Nicoll,85 - 89,Total*,-
Downtown Core,Nicoll,85 - 89,≤ 60,-
Downtown Core,Nicoll,85 - 89,> 60 - 80,-
Downtown Core,Nicoll,85 - 89,> 80 - 100,-
Downtown Core,Nicoll,85 - 89,> 100 - 120,-
Downtown Core,Nicoll,85 - 89,> 120,-
Downtown Core,Nicoll,90 & Over,Total*,-
Downtown Core,Nicoll,90 & Over,≤ 60,-
Downtown Core,Nicoll,90 & Over,> 60 - 80,-
Downtown Core,Nicoll,90 & Over,> 80 - 100,-
Downtown Core,Nicoll,90 & Over,> 100 - 120,-
Downtown Core,Nicoll,90 & Over,> 120,-
Downtown Core,Phillip,Total,Total*,10
Downtown Core,Phillip,Total,≤ 60,-
Downtown Core,Phillip,Total,> 60 - 80,-
Downtown Core,Phillip,Total,> 80 - 100,-
Downtown Core,Phillip,Total,> 100 - 120,-
Downtown Core,Phillip,Total,> 120,-
Downtown Core,Phillip,0 - 4,Total*,-
Downtown Core,Phillip,0 - 4,≤ 60,-
Downtown Core,Phillip,0 - 4,> 60 - 80,-
Downtown Core,Phillip,0 - 4,> 80 - 100,-
Downtown Core,Phillip,0 - 4,> 100 - 120,-
Downtown Core,Phillip,0 - 4,> 120,-
Downtown Core,Phillip,5 - 9,Total*,-
Downtown Core,Phillip,5 - 9,≤ 60,-
Downtown Core,Phillip,5 - 9,> 60 - 80,-
Downtown Core,Phillip,5 - 9,> 80 - 100,-
Downtown Core,Phillip,5 - 9,> 100 - 120,-
Downtown Core,Phillip,5 - 9,> 120,-
Downtown Core,Phillip,10 - 14,Total*,-
Downtown Core,Phillip,10 - 14,≤ 60,-
Downtown Core,Phillip,10 - 14,> 60 - 80,-
Downtown Core,Phillip,10 - 14,> 80 - 100,-
Downtown Core,Phillip,10 - 14,> 100 - 120,-
Downtown Core,Phillip,10 - 14,> 120,-
Downtown Core,Phillip,15 - 19,Total*,-
Downtown Core,Phillip,15 - 19,≤ 60,-
Downtown Core,Phillip,15 - 19,> 60 - 80,-
Downtown Core,Phillip,15 - 19,> 80 - 100,-
Downtown Core,Phillip,15 - 19,> 100 - 120,-
Downtown Core,Phillip,15 - 19,> 120,-
Downtown Core,Phillip,20 - 24,Total*,-
Downtown Core,Phillip,20 - 24,≤ 60,-
Downtown Core,Phillip,20 - 24,> 60 - 80,-
Downtown Core,Phillip,20 - 24,> 80 - 100,-
Downtown Core,Phillip,20 - 24,> 100 - 120,-
Downtown Core,Phillip,20 - 24,> 120,-
Downtown Core,Phillip,25 - 29,Total*,-
Downtown Core,Phillip,25 - 29,≤ 60,-
Downtown Core,Phillip,25 - 29,> 60 - 80,-
Downtown Core,Phillip,25 - 29,> 80 - 100,-
Downtown Core,Phillip,25 - 29,> 100 - 120,-
Downtown Core,Phillip,25 - 29,> 120,-
Downtown Core,Phillip,30 - 34,Total*,-
Downtown Core,Phillip,30 - 34,≤ 60,-
Downtown Core,Phillip,30 - 34,> 60 - 80,-
Downtown Core,Phillip,30 - 34,> 80 - 100,-
Downtown Core,Phillip,30 - 34,> 100 - 120,-
Downtown Core,Phillip,30 - 34,> 120,-
Downtown Core,Phillip,35 - 39,Total*,-
Downtown Core,Phillip,35 - 39,≤ 60,-
Downtown Core,Phillip,35 - 39,> 60 - 80,-
Downtown Core,Phillip,35 - 39,> 80 - 100,-
Downtown Core,Phillip,35 - 39,> 100 - 120,-
Downtown Core,Phillip,35 - 39,> 120,-
Downtown Core,Phillip,40 - 44,Total*,-
Downtown Core,Phillip,40 - 44,≤ 60,-
Downtown Core,Phillip,40 - 44,> 60 - 80,-
Downtown Core,Phillip,40 - 44,> 80 - 100,-
Downtown Core,Phillip,40 - 44,> 100 - 120,-
Downtown Core,Phillip,40 - 44,> 120,-
Downtown Core,Phillip,45 - 49,Total*,-
Downtown Core,Phillip,45 - 49,≤ 60,-
Downtown Core,Phillip,45 - 49,> 60 - 80,-
Downtown Core,Phillip,45 - 49,> 80 - 100,-
Downtown Core,Phillip,45 - 49,> 100 - 120,-
Downtown Core,Phillip,45 - 49,> 120,-
Downtown Core,Phillip,50 - 54,Total*,-
Downtown Core,Phillip,50 - 54,≤ 60,-
Downtown Core,Phillip,50 - 54,> 60 - 80,-
Downtown Core,Phillip,50 - 54,> 80 - 100,-
Downtown Core,Phillip,50 - 54,> 100 - 120,-
Downtown Core,Phillip,50 - 54,> 120,-
Downtown Core,Phillip,55 - 59,Total*,-
Downtown Core,Phillip,55 - 59,≤ 60,-
Downtown Core,Phillip,55 - 59,> 60 - 80,-
Downtown Core,Phillip,55 - 59,> 80 - 100,-
Downtown Core,Phillip,55 - 59,> 100 - 120,-
Downtown Core,Phillip,55 - 59,> 120,-
Downtown Core,Phillip,60 - 64,Total*,-
Downtown Core,Phillip,60 - 64,≤ 60,-
Downtown Core,Phillip,60 - 64,> 60 - 80,-
Downtown Core,Phillip,60 - 64,> 80 - 100,-
Downtown Core,Phillip,60 - 64,> 100 - 120,-
Downtown Core,Phillip,60 - 64,> 120,-
Downtown Core,Phillip,65 - 69,Total*,-
Downtown Core,Phillip,65 - 69,≤ 60,-
Downtown Core,Phillip,65 - 69,> 60 - 80,-
Downtown Core,Phillip,65 - 69,> 80 - 100,-
Downtown Core,Phillip,65 - 69,> 100 - 120,-
Downtown Core,Phillip,65 - 69,> 120,-
Downtown Core,Phillip,70 - 74,Total*,-
Downtown Core,Phillip,70 - 74,≤ 60,-
Downtown Core,Phillip,70 - 74,> 60 - 80,-
Downtown Core,Phillip,70 - 74,> 80 - 100,-
Downtown Core,Phillip,70 - 74,> 100 - 120,-
Downtown Core,Phillip,70 - 74,> 120,-
Downtown Core,Phillip,75 - 79,Total*,-
Downtown Core,Phillip,75 - 79,≤ 60,-
Downtown Core,Phillip,75 - 79,> 60 - 80,-
Downtown Core,Phillip,75 - 79,> 80 - 100,-
Downtown Core,Phillip,75 - 79,> 100 - 120,-
Downtown Core,Phillip,75 - 79,> 120,-
Downtown Core,Phillip,80 - 84,Total*,-
Downtown Core,Phillip,80 - 84,≤ 60,-
Downtown Core,Phillip,80 - 84,> 60 - 80,-
Downtown Core,Phillip,80 - 84,> 80 - 100,-
Downtown Core,Phillip,80 - 84,> 100 - 120,-
Downtown Core,Phillip,80 - 84,> 120,-
Downtown Core,Phillip,85 - 89,Total*,-
Downtown Core,Phillip,85 - 89,≤ 60,-
Downtown Core,Phillip,85 - 89,> 60 - 80,-
Downtown Core,Phillip,85 - 89,> 80 - 100,-
Downtown Core,Phillip,85 - 89,> 100 - 120,-
Downtown Core,Phillip,85 - 89,> 120,-
Downtown Core,Phillip,90 & Over,Total*,-
Downtown Core,Phillip,90 & Over,≤ 60,-
Downtown Core,Phillip,90 & Over,> 60 - 80,-
Downtown Core,Phillip,90 & Over,> 80 - 100,-
Downtown Core,Phillip,90 & Over,> 100 - 120,-
Downtown Core,Phillip,90 & Over,> 120,-
Downtown Core,Raffles Place,Total,Total*,40
Downtown Core,Raffles Place,Total,≤ 60,-
Downtown Core,Raffles Place,Total,> 60 - 80,-
Downtown Core,Raffles Place,Total,> 80 - 100,-
Downtown Core,Raffles Place,Total,> 100 - 120,-
Downtown Core,Raffles Place,Total,> 120,-
Downtown Core,Raffles Place,0 - 4,Total*,-
Downtown Core,Raffles Place,0 - 4,≤ 60,-
Downtown Core,Raffles Place,0 - 4,> 60 - 80,-
Downtown Core,Raffles Place,0 - 4,> 80 - 100,-
Downtown Core,Raffles Place,0 - 4,> 100 - 120,-
Downtown Core,Raffles Place,0 - 4,> 120,-
Downtown Core,Raffles Place,5 - 9,Total*,-
Downtown Core,Raffles Place,5 - 9,≤ 60,-
Downtown Core,Raffles Place,5 - 9,> 60 - 80,-
Downtown Core,Raffles Place,5 - 9,> 80 - 100,-
Downtown Core,Raffles Place,5 - 9,> 100 - 120,-
Downtown Core,Raffles Place,5 - 9,> 120,-
Downtown Core,Raffles Place,10 - 14,Total*,-
Downtown Core,Raffles Place,10 - 14,≤ 60,-
Downtown Core,Raffles Place,10 - 14,> 60 - 80,-
Downtown Core,Raffles Place,10 - 14,> 80 - 100,-
Downtown Core,Raffles Place,10 - 14,> 100 - 120,-
Downtown Core,Raffles Place,10 - 14,> 120,-
Downtown Core,Raffles Place,15 - 19,Total*,-
Downtown Core,Raffles Place,15 - 19,≤ 60,-
Downtown Core,Raffles Place,15 - 19,> 60 - 80,-
Downtown Core,Raffles Place,15 - 19,> 80 - 100,-
Downtown Core,Raffles Place,15 - 19,> 100 - 120,-
Downtown Core,Raffles Place,15 - 19,> 120,-
Downtown Core,Raffles Place,20 - 24,Total*,-
Downtown Core,Raffles Place,20 - 24,≤ 60,-
Downtown Core,Raffles Place,20 - 24,> 60 - 80,-
Downtown Core,Raffles Place,20 - 24,> 80 - 100,-
Downtown Core,Raffles Place,20 - 24,> 100 - 120,-
Downtown Core,Raffles Place,20 - 24,> 120,-
Downtown Core,Raffles Place,25 - 29,Total*,-
Downtown Core,Raffles Place,25 - 29,≤ 60,-
Downtown Core,Raffles Place,25 - 29,> 60 - 80,-
Downtown Core,Raffles Place,25 - 29,> 80 - 100,-
Downtown Core,Raffles Place,25 - 29,> 100 - 120,-
Downtown Core,Raffles Place,25 - 29,> 120,-
Downtown Core,Raffles Place,30 - 34,Total*,-
Downtown Core,Raffles Place,30 - 34,≤ 60,-
Downtown Core,Raffles Place,30 - 34,> 60 - 80,-
Downtown Core,Raffles Place,30 - 34,> 80 - 100,-
Downtown Core,Raffles Place,30 - 34,> 100 - 120,-
Downtown Core,Raffles Place,30 - 34,> 120,-
Downtown Core,Raffles Place,35 - 39,Total*,-
Downtown Core,Raffles Place,35 - 39,≤ 60,-
Downtown Core,Raffles Place,35 - 39,> 60 - 80,-
Downtown Core,Raffles Place,35 - 39,> 80 - 100,-
Downtown Core,Raffles Place,35 - 39,> 100 - 120,-
Downtown Core,Raffles Place,35 - 39,> 120,-
Downtown Core,Raffles Place,40 - 44,Total*,-
Downtown Core,Raffles Place,40 - 44,≤ 60,-
Downtown Core,Raffles Place,40 - 44,> 60 - 80,-
Downtown Core,Raffles Place,40 - 44,> 80 - 100,-
Downtown Core,Raffles Place,40 - 44,> 100 - 120,-
Downtown Core,Raffles Place,40 - 44,> 120,-
Downtown Core,Raffles Place,45 - 49,Total*,-
Downtown Core,Raffles Place,45 - 49,≤ 60,-
Downtown Core,Raffles Place,45 - 49,> 60 - 80,-
Downtown Core,Raffles Place,45 - 49,> 80 - 100,-
Downtown Core,Raffles Place,45 - 49,> 100 - 120,-
Downtown Core,Raffles Place,45 - 49,> 120,-
Downtown Core,Raffles Place,50 - 54,Total*,-
Downtown Core,Raffles Place,50 - 54,≤ 60,-
Downtown Core,Raffles Place,50 - 54,> 60 - 80,-
Downtown Core,Raffles Place,50 - 54,> 80 - 100,-
Downtown Core,Raffles Place,50 - 54,> 100 - 120,-
Downtown Core,Raffles Place,50 - 54,> 120,-
Downtown Core,Raffles Place,55 - 59,Total*,-
Downtown Core,Raffles Place,55 - 59,≤ 60,-
Downtown Core,Raffles Place,55 - 59,> 60 - 80,-
Downtown Core,Raffles Place,55 - 59,> 80 - 100,-
Downtown Core,Raffles Place,55 - 59,> 100 - 120,-
Downtown Core,Raffles Place,55 - 59,> 120,-
Downtown Core,Raffles Place,60 - 64,Total*,-
Downtown Core,Raffles Place,60 - 64,≤ 60,-
Downtown Core,Raffles Place,60 - 64,> 60 - 80,-
Downtown Core,Raffles Place,60 - 64,> 80 - 100,-
Downtown Core,Raffles Place,60 - 64,> 100 - 120,-
Downtown Core,Raffles Place,60 - 64,> 120,-
Downtown Core,Raffles Place,65 - 69,Total*,-
Downtown Core,Raffles Place,65 - 69,≤ 60,-
Downtown Core,Raffles Place,65 - 69,> 60 - 80,-
Downtown Core,Raffles Place,65 - 69,> 80 - 100,-
Downtown Core,Raffles Place,65 - 69,> 100 - 120,-
Downtown Core,Raffles Place,65 - 69,> 120,-
Downtown Core,Raffles Place,70 - 74,Total*,-
Downtown Core,Raffles Place,70 - 74,≤ 60,-
Downtown Core,Raffles Place,70 - 74,> 60 - 80,-
Downtown Core,Raffles Place,70 - 74,> 80 - 100,-
Downtown Core,Raffles Place,70 - 74,> 100 - 120,-
Downtown Core,Raffles Place,70 - 74,> 120,-
Downtown Core,Raffles Place,75 - 79,Total*,-
Downtown Core,Raffles Place,75 - 79,≤ 60,-
Downtown Core,Raffles Place,75 - 79,> 60 - 80,-
Downtown Core,Raffles Place,75 - 79,> 80 - 100,-
Downtown Core,Raffles Place,75 - 79,> 100 - 120,-
Downtown Core,Raffles Place,75 - 79,> 120,-
Downtown Core,Raffles Place,80 - 84,Total*,-
Downtown Core,Raffles Place,80 - 84,≤ 60,-
Downtown Core,Raffles Place,80 - 84,> 60 - 80,-
Downtown Core,Raffles Place,80 - 84,> 80 - 100,-
Downtown Core,Raffles Place,80 - 84,> 100 - 120,-
Downtown Core,Raffles Place,80 - 84,> 120,-
Downtown Core,Raffles Place,85 - 89,Total*,-
Downtown Core,Raffles Place,85 - 89,≤ 60,-
Downtown Core,Raffles Place,85 - 89,> 60 - 80,-
Downtown Core,Raffles Place,85 - 89,> 80 - 100,-
Downtown Core,Raffles Place,85 - 89,> 100 - 120,-
Downtown Core,Raffles Place,85 - 89,> 120,-
Downtown Core,Raffles Place,90 & Over,Total*,-
Downtown Core,Raffles Place,90 & Over,≤ 60,-
Downtown Core,Raffles Place,90 & Over,> 60 - 80,-
Downtown Core,Raffles Place,90 & Over,> 80 - 100,-
Downtown Core,Raffles Place,90 & Over,> 100 - 120,-
Downtown Core,Raffles Place,90 & Over,> 120,-
Downtown Core,Tanjong Pagar,Total,Total*,940
Downtown Core,Tanjong Pagar,Total,≤ 60,200
Downtown Core,Tanjong Pagar,Total,> 60 - 80,150
Downtown Core,Tanjong Pagar,Total,> 80 - 100,270
Downtown Core,Tanjong Pagar,Total,> 100 - 120,80
Downtown Core,Tanjong Pagar,Total,> 120,190
Downtown Core,Tanjong Pagar,0 - 4,Total*,30
Downtown Core,Tanjong Pagar,0 - 4,≤ 60,-
Downtown Core,Tanjong Pagar,0 - 4,> 60 - 80,-
Downtown Core,Tanjong Pagar,0 - 4,> 80 - 100,10
Downtown Core,Tanjong Pagar,0 - 4,> 100 - 120,-
Downtown Core,Tanjong Pagar,0 - 4,> 120,10
Downtown Core,Tanjong Pagar,5 - 9,Total*,20
Downtown Core,Tanjong Pagar,5 - 9,≤ 60,-
Downtown Core,Tanjong Pagar,5 - 9,> 60 - 80,10
Downtown Core,Tanjong Pagar,5 - 9,> 80 - 100,10
Downtown Core,Tanjong Pagar,5 - 9,> 100 - 120,-
Downtown Core,Tanjong Pagar,5 - 9,> 120,10
Downtown Core,Tanjong Pagar,10 - 14,Total*,10
Downtown Core,Tanjong Pagar,10 - 14,≤ 60,-
Downtown Core,Tanjong Pagar,10 - 14,> 60 - 80,-
Downtown Core,Tanjong Pagar,10 - 14,> 80 - 100,10
Downtown Core,Tanjong Pagar,10 - 14,> 100 - 120,-
Downtown Core,Tanjong Pagar,10 - 14,> 120,10
Downtown Core,Tanjong Pagar,15 - 19,Total*,20
Downtown Core,Tanjong Pagar,15 - 19,≤ 60,-
Downtown Core,Tanjong Pagar,15 - 19,> 60 - 80,-
Downtown Core,Tanjong Pagar,15 - 19,> 80 - 100,10
Downtown Core,Tanjong Pagar,15 - 19,> 100 - 120,-
Downtown Core,Tanjong Pagar,15 - 19,> 120,-
Downtown Core,Tanjong Pagar,20 - 24,Total*,20
Downtown Core,Tanjong Pagar,20 - 24,≤ 60,-
Downtown Core,Tanjong Pagar,20 - 24,> 60 - 80,-
Downtown Core,Tanjong Pagar,20 - 24,> 80 - 100,10
Downtown Core,Tanjong Pagar,20 - 24,> 100 - 120,-
Downtown Core,Tanjong Pagar,20 - 24,> 120,10
Downtown Core,Tanjong Pagar,25 - 29,Total*,50
Downtown Core,Tanjong Pagar,25 - 29,≤ 60,10
Downtown Core,Tanjong Pagar,25 - 29,> 60 - 80,10
Downtown Core,Tanjong Pagar,25 - 29,> 80 - 100,10
Downtown Core,Tanjong Pagar,25 - 29,> 100 - 120,-
Downtown Core,Tanjong Pagar,25 - 29,> 120,20
Downtown Core,Tanjong Pagar,30 - 34,Total*,140
Downtown Core,Tanjong Pagar,30 - 34,≤ 60,40
Downtown Core,Tanjong Pagar,30 - 34,> 60 - 80,30
Downtown Core,Tanjong Pagar,30 - 34,> 80 - 100,30
Downtown Core,Tanjong Pagar,30 - 34,> 100 - 120,10
Downtown Core,Tanjong Pagar,30 - 34,> 120,30
Downtown Core,Tanjong Pagar,35 - 39,Total*,140
Downtown Core,Tanjong Pagar,35 - 39,≤ 60,30
Downtown Core,Tanjong Pagar,35 - 39,> 60 - 80,30
Downtown Core,Tanjong Pagar,35 - 39,> 80 - 100,40
Downtown Core,Tanjong Pagar,35 - 39,> 100 - 120,20
Downtown Core,Tanjong Pagar,35 - 39,> 120,30
Downtown Core,Tanjong Pagar,40 - 44,Total*,130
Downtown Core,Tanjong Pagar,40 - 44,≤ 60,40
Downtown Core,Tanjong Pagar,40 - 44,> 60 - 80,30
Downtown Core,Tanjong Pagar,40 - 44,> 80 - 100,40
Downtown Core,Tanjong Pagar,40 - 44,> 100 - 120,10
Downtown Core,Tanjong Pagar,40 - 44,> 120,20
Downtown Core,Tanjong Pagar,45 - 49,Total*,100
Downtown Core,Tanjong Pagar,45 - 49,≤ 60,30
Downtown Core,Tanjong Pagar,45 - 49,> 60 - 80,20
Downtown Core,Tanjong Pagar,45 - 49,> 80 - 100,40
Downtown Core,Tanjong Pagar,45 - 49,> 100 - 120,10
Downtown Core,Tanjong Pagar,45 - 49,> 120,10
Downtown Core,Tanjong Pagar,50 - 54,Total*,80
Downtown Core,Tanjong Pagar,50 - 54,≤ 60,20
Downtown Core,Tanjong Pagar,50 - 54,> 60 - 80,20
Downtown Core,Tanjong Pagar,50 - 54,> 80 - 100,30
Downtown Core,Tanjong Pagar,50 - 54,> 100 - 120,10
Downtown Core,Tanjong Pagar,50 - 54,> 120,20
Downtown Core,Tanjong Pagar,55 - 59,Total*,60
Downtown Core,Tanjong Pagar,55 - 59,≤ 60,10
Downtown Core,Tanjong Pagar,55 - 59,> 60 - 80,10
Downtown Core,Tanjong Pagar,55 - 59,> 80 - 100,20
Downtown Core,Tanjong Pagar,55 - 59,> 100 - 120,-
Downtown Core,Tanjong Pagar,55 - 59,> 120,10
Downtown Core,Tanjong Pagar,60 - 64,Total*,40
Downtown Core,Tanjong Pagar,60 - 64,≤ 60,-
Downtown Core,Tanjong Pagar,60 - 64,> 60 - 80,-
Downtown Core,Tanjong Pagar,60 - 64,> 80 - 100,10
Downtown Core,Tanjong Pagar,60 - 64,> 100 - 120,-
Downtown Core,Tanjong Pagar,60 - 64,> 120,10
Downtown Core,Tanjong Pagar,65 - 69,Total*,30
Downtown Core,Tanjong Pagar,65 - 69,≤ 60,-
Downtown Core,Tanjong Pagar,65 - 69,> 60 - 80,-
Downtown Core,Tanjong Pagar,65 - 69,> 80 - 100,10
Downtown Core,Tanjong Pagar,65 - 69,> 100 - 120,-
Downtown Core,Tanjong Pagar,65 - 69,> 120,10
Downtown Core,Tanjong Pagar,70 - 74,Total*,20
Downtown Core,Tanjong Pagar,70 - 74,≤ 60,10
Downtown Core,Tanjong Pagar,70 - 74,> 60 - 80,-
Downtown Core,Tanjong Pagar,70 - 74,> 80 - 100,10
Downtown Core,Tanjong Pagar,70 - 74,> 100 - 120,-
Downtown Core,Tanjong Pagar,70 - 74,> 120,-
Downtown Core,Tanjong Pagar,75 - 79,Total*,10
Downtown Core,Tanjong Pagar,75 - 79,≤ 60,-
Downtown Core,Tanjong Pagar,75 - 79,> 60 - 80,-
Downtown Core,Tanjong Pagar,75 - 79,> 80 - 100,-
Downtown Core,Tanjong Pagar,75 - 79,> 100 - 120,-
Downtown Core,Tanjong Pagar,75 - 79,> 120,10
Downtown Core,Tanjong Pagar,80 - 84,Total*,10
Downtown Core,Tanjong Pagar,80 - 84,≤ 60,-
Downtown Core,Tanjong Pagar,80 - 84,> 60 - 80,-
Downtown Core,Tanjong Pagar,80 - 84,> 80 - 100,-
Downtown Core,Tanjong Pagar,80 - 84,> 100 - 120,-
Downtown Core,Tanjong Pagar,80 - 84,> 120,-
Downtown Core,Tanjong Pagar,85 - 89,Total*,-
Downtown Core,Tanjong Pagar,85 - 89,≤ 60,-
Downtown Core,Tanjong Pagar,85 - 89,> 60 - 80,-
Downtown Core,Tanjong Pagar,85 - 89,> 80 - 100,-
Downtown Core,Tanjong Pagar,85 - 89,> 100 - 120,-
Downtown Core,Tanjong Pagar,85 - 89,> 120,-
Downtown Core,Tanjong Pagar,90 & Over,Total*,20
Downtown Core,Tanjong Pagar,90 & Over,≤ 60,-
Downtown Core,Tanjong Pagar,90 & Over,> 60 - 80,-
Downtown Core,Tanjong Pagar,90 & Over,> 80 - 100,-
Downtown Core,Tanjong Pagar,90 & Over,> 100 - 120,-
Downtown Core,Tanjong Pagar,90 & Over,> 120,-
Geylang,Total,Total,Total*,116610
Geylang,Total,Total,≤ 60,21880
Geylang,Total,Total,> 60 - 80,17640
Geylang,Total,Total,> 80 - 100,31690
Geylang,Total,Total,> 100 - 120,21960
Geylang,Total,Total,> 120,20930
Geylang,Total,0 - 4,Total*,4650
Geylang,Total,0 - 4,≤ 60,540
Geylang,Total,0 - 4,> 60 - 80,620
Geylang,Total,0 - 4,> 80 - 100,1980
Geylang,Total,0 - 4,> 100 - 120,740
Geylang,Total,0 - 4,> 120,730
Geylang,Total,5 - 9,Total*,4650
Geylang,Total,5 - 9,≤ 60,560
Geylang,Total,5 - 9,> 60 - 80,510
Geylang,Total,5 - 9,> 80 - 100,1600
Geylang,Total,5 - 9,> 100 - 120,960
Geylang,Total,5 - 9,> 120,1000
Geylang,Total,10 - 14,Total*,4430
Geylang,Total,10 - 14,≤ 60,610
Geylang,Total,10 - 14,> 60 - 80,470
Geylang,Total,10 - 14,> 80 - 100,1250
Geylang,Total,10 - 14,> 100 - 120,1000
Geylang,Total,10 - 14,> 120,1060
Geylang,Total,15 - 19,Total*,4770
Geylang,Total,15 - 19,≤ 60,790
Geylang,Total,15 - 19,> 60 - 80,520
Geylang,Total,15 - 19,> 80 - 100,1160
Geylang,Total,15 - 19,> 100 - 120,1140
Geylang,Total,15 - 19,> 120,1100
Geylang,Total,20 - 24,Total*,5070
Geylang,Total,20 - 24,≤ 60,1010
Geylang,Total,20 - 24,> 60 - 80,590
Geylang,Total,20 - 24,> 80 - 100,1210
Geylang,Total,20 - 24,> 100 - 120,1130
Geylang,Total,20 - 24,> 120,1090
Geylang,Total,25 - 29,Total*,7010
Geylang,Total,25 - 29,≤ 60,1290
Geylang,Total,25 - 29,> 60 - 80,1010
Geylang,Total,25 - 29,> 80 - 100,1790
Geylang,Total,25 - 29,> 100 - 120,1460
Geylang,Total,25 - 29,> 120,1360
Geylang,Total,30 - 34,Total*,10760
Geylang,Total,30 - 34,≤ 60,1640
Geylang,Total,30 - 34,> 60 - 80,1750
Geylang,Total,30 - 34,> 80 - 100,4080
Geylang,Total,30 - 34,> 100 - 120,1600
Geylang,Total,30 - 34,> 120,1540
Geylang,Total,35 - 39,Total*,9540
Geylang,Total,35 - 39,≤ 60,1490
Geylang,Total,35 - 39,> 60 - 80,1580
Geylang,Total,35 - 39,> 80 - 100,3360
Geylang,Total,35 - 39,> 100 - 120,1560
Geylang,Total,35 - 39,> 120,1400
Geylang,Total,40 - 44,Total*,8350
Geylang,Total,40 - 44,≤ 60,1370
Geylang,Total,40 - 44,> 60 - 80,1310
Geylang,Total,40 - 44,> 80 - 100,2580
Geylang,Total,40 - 44,> 100 - 120,1600
